ts,mid,spreadBp,imb,features
2025-09-30T14:25:57.741714+00:00,nan,nan,nan,nan;nan;nan;nan;nan
2025-09-30T14:25:57.742658+00:00,nan,nan,nan,nan;nan;nan;nan;nan
2025-09-30T14:25:57.743246+00:00,184.365,0.5424022997852578,0.3333333333333333,184.365;0.5424022997852578;0.3333333333333333;184.36666666666667;0.0011785113019765073
2025-09-30T14:25:57.926026+00:00,184.365,0.5424022997852578,0.3333333333333333,184.365;0.5424022997852578;0.3333333333333333;184.36666666666667;0.0011785113019765073
2025-09-30T14:25:57.926292+00:00,184.365,0.5424022997852578,0.3333333333333333,184.365;0.5424022997852578;0.3333333333333333;184.36666666666667;0.0011785113019765073
2025-09-30T14:25:57.926860+00:00,184.405,0.5422846452097776,-0.5,184.405;0.5422846452097776;-0.5;184.4025;0.001767766952964761
2025-09-30T14:25:58.301141+00:00,184.425,0.5422258370621839,0.0,184.425;0.5422258370621839;0.0;184.425;0.0
2025-09-30T14:25:58.891135+00:00,184.425,0.5422258370621839,0.0,184.425;0.5422258370621839;0.0;184.425;0.0
2025-09-30T14:25:58.893348+00:00,184.475,0.5420788724754523,0.0,184.475;0.5420788724754523;0.0;184.475;0.0
2025-09-30T14:25:59.076964+00:00,184.475,0.5420788724754523,-0.3333333333333333,184.475;0.5420788724754523;-0.3333333333333333;184.47333333333333;0.0011785113019765073
2025-09-30T14:25:59.453499+00:00,184.465,0.5421082590188331,0.7777777777777778,184.465;0.5421082590188331;0.7777777777777778;184.4688888888889;0.0027498597046185496
2025-09-30T14:25:59.642094+00:00,184.475,0.5420788724754523,0.0,184.475;0.5420788724754523;0.0;184.475;0.0
2025-09-30T14:25:59.830005+00:00,184.475,0.5420788724754523,0.0,184.475;0.5420788724754523;0.0;184.475;0.0
2025-09-30T14:25:59.830221+00:00,184.475,0.5420788724754523,0.0,184.475;0.5420788724754523;0.0;184.475;0.0
2025-09-30T14:26:00.392644+00:00,184.485,0.5420494891194041,0.0,184.485;0.5420494891194041;0.0;184.485;0.0
2025-09-30T14:26:00.580903+00:00,184.485,0.5420494891194041,0.0,184.485;0.5420494891194041;0.0;184.485;0.0
2025-09-30T14:26:00.585141+00:00,184.485,0.5420494891194041,0.6,184.485;0.5420494891194041;0.6;184.488;0.0021213203435496743
2025-09-30T14:26:00.956486+00:00,184.485,0.5420494891194041,0.6,184.485;0.5420494891194041;0.6;184.488;0.0021213203435496743
2025-09-30T14:26:00.957236+00:00,184.485,0.5420494891194041,0.6,184.485;0.5420494891194041;0.6;184.488;0.0021213203435496743
2025-09-30T14:26:00.958425+00:00,184.465,0.5421082590188331,0.5,184.465;0.5421082590188331;0.5;184.4675;0.001767766952964761
2025-09-30T14:26:01.142830+00:00,184.465,0.5421082590188331,0.5,184.465;0.5421082590188331;0.5;184.4675;0.001767766952964761
2025-09-30T14:26:01.143315+00:00,184.48000000000002,1.084128360798473,-0.42857142857142855,184.48000000000002;1.084128360798473;-0.42857142857142855;184.47571428571428;0.0030304576336768444
2025-09-30T14:26:01.330390+00:00,184.48000000000002,1.084128360798473,0.3333333333333333,184.48000000000002;1.084128360798473;0.3333333333333333;184.48333333333332;0.0023570226039329174
